Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.38,2.6,33.0,42.71818181818182,32.0,20.0,9.3,0.4,36.540740740740745,25.13953488372093,42.4
0.35,3.29,75.0,42.71818181818182,21.5609756097561,22.30243902439024,2.7,1.2,36.540740740740745,25.13953488372093,46.5
0.76,4.5,100.0,42.71818181818182,30.0,32.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,21.1
0.65,3.2,25.0,42.71818181818182,19.0,20.0,5.8,0.2,33.6,25.0,18.5
0.45,3.163619047619047,50.0,38.25,25.0,25.0,5.2,2.9,34.0,22.0,38.68
0.49,4.2,100.0,42.71818181818182,16.0,16.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,35.3
0.5,2.9,30.0,42.71818181818182,25.0,20.0,1.9,1.4,36.540740740740745,25.13953488372093,36.7
0.43,2.8,72.0,42.71818181818182,32.0,19.0,9.3,0.4,36.540740740740745,25.13953488372093,30.3
0.41,1.7,30.0,42.71818181818182,20.0,32.0,4.0,0.7,36.540740740740745,25.13953488372093,56.0
0.54,3.1,0.0,42.71818181818182,32.0,25.0,5.158959537572255,0.4,36.540740740740745,25.13953488372093,26.8
0.41,2.8,20.0,42.71818181818182,20.0,19.0,3.9,1.2,30.8,29.1,46.1
0.54,2.7,100.0,42.71818181818182,32.0,32.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,29.7
0.41,1.7,60.0,42.71818181818182,20.0,20.0,3.8,0.7,36.540740740740745,25.13953488372093,47.5
0.3,3.163619047619047,25.0,42.71818181818182,12.0,12.0,6.1,2.0,36.540740740740745,25.13953488372093,70.5
0.55,3.9,25.0,42.71818181818182,25.0,19.0,4.5,0.9,36.540740740740745,25.13953488372093,38.8
0.41,1.7,60.0,42.71818181818182,20.0,20.0,3.5,0.7,36.540740740740745,25.13953488372093,43.3
0.72,6.0,40.0,42.71818181818182,20.0,20.0,6.94,1.53,29.0,20.0,26.6
0.46,4.6,100.0,37.3,12.0,20.0,10.9,1.1553691275167786,36.540740740740745,25.13953488372093,38.6
0.45,4.26,50.0,42.71818181818182,21.5609756097561,22.30243902439024,7.16,0.5,36.540740740740745,25.13953488372093,43.6
0.32,5.75,50.0,42.71818181818182,21.5609756097561,22.30243902439024,5.07,1.48,36.540740740740745,25.13953488372093,14.5
0.66,4.6,0.0,42.71818181818182,20.0,22.0,5.158959537572255,1.4,36.540740740740745,25.13953488372093,21.0
0.45,3.163619047619047,100.0,28.25,25.0,25.0,5.2,2.9,34.0,22.0,24.34
0.6,4.5,50.0,42.71818181818182,19.0,20.0,5.158959537572255,1.1553691275167786,36.540740740740745,25.13953488372093,21.5
