Effective water- to-cement ratio,Aggregate-to-cement ratio (a/c),RCA replacement ratio (RCA %),Parent concrete strength(MPa),Nominal maximum RCA size(mm),Nominal maximum NA size(mm),Water absorption of RCA(WARCA) (%),Water absorption of NA,Los Angeles abrasion of RCA,Los Angeles abrasion of NA,Compressive strength (f’c) (MPa)
0.44,2.5,50.0,46.176785714285714,19.0,19.0,5.3,0.5,37.0,23.0,63.5
0.66,3.4,100.0,46.176785714285714,22.0,20.0,6.9,1.138730650154799,35.59479166666667,26.013793103448275,35.7
0.34,1.9,100.0,46.176785714285714,30.0,19.0,3.8,1.138730650154799,34.0,26.013793103448275,44.4
0.45,3.1,50.0,41.4,20.0,22.0,7.3,1.2,40.0,24.8,55.0
0.72,5.8,0.0,46.176785714285714,20.0,20.0,5.2220498614958455,1.53,35.59479166666667,20.0,30.8
0.41,1.7,30.0,46.176785714285714,20.0,20.0,3.5,0.7,35.59479166666667,26.013793103448275,53.7
0.65,3.3,0.0,46.176785714285714,19.0,20.0,5.2220498614958455,0.2,35.59479166666667,25.0,20.2
0.67,3.5,0.0,46.176785714285714,25.0,25.0,5.2220498614958455,1.2,35.59479166666667,26.013793103448275,23.6
0.29,2.8,20.0,40.0,10.0,10.0,5.9,2.1,24.3,24.8,76.4375
0.24,4.5,20.0,46.176785714285714,21.42094017094017,21.955128205128204,4.6,0.5,43.3,30.2,13.5
0.5,2.6,0.0,46.176785714285714,16.0,20.0,5.2220498614958455,2.0,35.59479166666667,23.0,44.8
0.54,2.9,100.0,41.4,20.0,22.0,7.3,1.138730650154799,40.0,26.013793103448275,45.2
0.5,3.5,30.0,46.176785714285714,20.0,22.0,5.3,1.4,35.59479166666667,26.013793103448275,25.0
0.35,3.29,100.0,46.176785714285714,21.42094017094017,21.955128205128204,2.7,1.2,35.59479166666667,26.013793103448275,46.0
0.29,2.2,50.0,46.176785714285714,20.0,30.0,4.9,2.5,35.59479166666667,26.013793103448275,70.8
0.41,3.0800824742268045,50.0,46.176785714285714,21.42094017094017,21.955128205128204,5.1,0.5,35.59479166666667,26.013793103448275,37.6
0.41,1.7,45.0,46.176785714285714,20.0,20.0,3.5,0.7,35.59479166666667,26.013793103448275,50.0
